Problem,D_Num,MaOEACE vs NSGAIII,NSGAIII vs MaOEACE,MaOEACE vs MaOEACSS,MaOEACSS vs MaOEACE,MaOEACE vs NSGAIISDR,NSGAIISDR vs MaOEACE,MaOEACE vs SRA,SRA vs MaOEACE,
LA24,150,leftGG0.259949rightGG,leftGG0.211905rightGG,leftGG0.148904rightGG,leftGG0.369977rightGG,leftGG0.190337rightGG,leftGG0.371446rightGG,leftGG0.332686rightGG,leftGG0.082723rightGG,
LA25,150,0.594444,0.130952,0.665079,0.256349,0.764286,0.236508,0.878571,0.171429,
LA25,150,leftGG0.399979rightGG,leftGG0.304026rightGG,leftGG0.319415rightGG,leftGG0.402406rightGG,leftGG0.302984rightGG,leftGG0.387685rightGG,leftGG0.223665rightGG,leftGG0.348126rightGG,
LA26,200,0.934127,0.138889,0.896032,0.158730,0.969841,0.160317,0.800000,0.132540,
LA26,200,leftGG0.103968rightGG,leftGG0.286644rightGG,leftGG0.193737rightGG,leftGG0.302692rightGG,leftGG0.065234rightGG,leftGG0.332686rightGG,leftGG0.400000rightGG,leftGG0.304994rightGG,
LA27,200,0.572222,0.500000,0.961111,0.303968,0.899206,0.268254,0.824603,0.100794,
LA27,200,leftGG0.446966rightGG,leftGG0.500000rightGG,leftGG0.087262rightGG,leftGG0.424036rightGG,leftGG0.147160rightGG,leftGG0.406017rightGG,leftGG0.355081rightGG,leftGG0.299745rightGG,
LA28,200,0.884127,0.369048,0.944444,0.201587,0.980952,0.120635,0.875397,0.196032,
LA28,200,leftGG0.169893rightGG,leftGG0.384691rightGG,leftGG0.093030rightGG,leftGG0.377434rightGG,leftGG0.044217rightGG,leftGG0.239304rightGG,leftGG0.299661rightGG,leftGG0.326190rightGG,
LA29,200,0.743651,0.501587,0.988095,0.092857,0.735714,0.188095,0.800000,0.228571,
LA29,200,leftGG0.384229rightGG,leftGG0.440770rightGG,leftGG0.025409rightGG,leftGG0.275936rightGG,leftGG0.375977rightGG,leftGG0.328289rightGG,leftGG0.400000rightGG,leftGG0.317952rightGG,
LA30,200,0.530952,0.375397,0.796032,0.301587,0.783333,0.297619,0.800000,0.237302,
LA30,200,leftGG0.477148rightGG,leftGG0.422712rightGG,leftGG0.281294rightGG,leftGG0.457242rightGG,leftGG0.271727rightGG,leftGG0.454662rightGG,leftGG0.400000rightGG,leftGG0.396991rightGG,
LA31,300,0.884921,0.187302,0.973016,0.123016,0.844444,0.115873,0.796825,0.292063,
LA31,300,leftGG0.296304rightGG,leftGG0.312485rightGG,leftGG0.049078rightGG,leftGG0.227938rightGG,leftGG0.317345rightGG,leftGG0.296558rightGG,leftGG0.398523rightGG,leftGG0.444555rightGG,
LA32,300,0.791270,0.283333,0.924603,0.287302,0.886508,0.298413,0.999206,0.243651,
LA32,300,leftGG0.360112rightGG,leftGG0.426244rightGG,leftGG0.140288rightGG,leftGG0.394737rightGG,leftGG0.240072rightGG,leftGG0.442630rightGG,leftGG0.002381rightGG,leftGG0.335388rightGG,
LA33,300,0.480159,0.668254,0.784127,0.554762,0.671429,0.525397,0.515873,0.479365,
LA33,300,leftGG0.439187rightGG,leftGG0.443122rightGG,leftGG0.302792rightGG,leftGG0.467870rightGG,leftGG0.402189rightGG,leftGG0.475539rightGG,leftGG0.395856rightGG,leftGG0.394504rightGG,
LA34,300,0.580159,0.475397,0.813492,0.669048,0.949206,0.239683,0.856349,0.282540,
LA34,300,leftGG0.442405rightGG,leftGG0.475614rightGG,leftGG0.157825rightGG,leftGG0.372527rightGG,leftGG0.093449rightGG,leftGG0.357069rightGG,leftGG0.303159rightGG,leftGG0.417436rightGG,
LA35,300,0.705556,0.284921,0.830952,0.502381,0.888095,0.171429,0.559524,0.313492,
LA35,300,leftGG0.377722rightGG,leftGG0.368914rightGG,leftGG0.290720rightGG,leftGG0.446622rightGG,leftGG0.252362rightGG,leftGG0.348759rightGG,leftGG0.418176rightGG,leftGG0.447907rightGG,
LA36,225,0.660317,0.393651,0.746032,0.545238,0.699206,0.581746,0.989683,0.016667,
LA36,225,leftGG0.443363rightGG,leftGG0.472182rightGG,leftGG0.234093rightGG,leftGG0.463835rightGG,leftGG0.328718rightGG,leftGG0.469678rightGG,leftGG0.030952rightGG,leftGG0.050000rightGG,
LA37,225,0.590476,0.349206,0.723016,0.197619,0.634921,0.496032,0.965079,0.007937,
LA37,225,leftGG0.473354rightGG,leftGG0.423188rightGG,leftGG0.297644rightGG,leftGG0.391399rightGG,leftGG0.351203rightGG,leftGG0.417920rightGG,leftGG0.092022rightGG,leftGG0.023810rightGG,
LA38,225,0.496825,0.519841,0.856349,0.435714,0.868254,0.197619,1.000000,0.000000,
LA38,225,leftGG0.492232rightGG,leftGG0.466114rightGG,leftGG0.138489rightGG,leftGG0.427622rightGG,leftGG0.291653rightGG,leftGG0.329024rightGG,leftGG0.000000rightGG,leftGG0.000000rightGG,
LA39,225,0.569048,0.423016,0.786508,0.423016,0.767460,0.363492,0.775397,0.146825,
LA39,225,leftGG0.468012rightGG,leftGG0.472766rightGG,leftGG0.303159rightGG,leftGG0.453841rightGG,leftGG0.343387rightGG,leftGG0.451012rightGG,leftGG0.391102rightGG,leftGG0.299265rightGG,
LA40,225,0.768254,0.404762,0.930159,0.283333,0.984127,0.000000,1.000000,0.000000,
LA40,225,leftGG0.373856rightGG,leftGG0.441743rightGG,leftGG0.090754rightGG,leftGG0.416346rightGG,leftGG0.045036rightGG,leftGG0.000000rightGG,leftGG0.000000rightGG,leftGG0.000000rightGG,
